N_unmapped	7629570	7629570	7629570
N_multimapping	0	0	0
N_noFeature	650108	658338	1122999
N_ambiguous	12131	6810	67
DDX11L1	0	0	0
WASH7P	0	0	0
MIR6859-3	0	0	0
MIR6859-2	0	0	0
MIR6859-1	0	0	0
MIR6859-4	0	0	0
MIR1302-2	0	0	0
MIR1302-11	0	0	0
MIR1302-9	0	0	0
MIR1302-10	0	0	0
FAM138A	0	0	0
FAM138C	0	0	0
FAM138F	0	0	0
OR4F5	0	0	0
LOC729737	0	0	0
FAM138D	0	0	0
OR4F29	0	0	0
OR4F3	0	0	0
OR4F16	0	0	0
LOC100132287	0	0	0
LOC100132062	0	0	0
LOC101928626	0	0	0
MIR6723	0	0	0
LOC100133331	0	0	0
LOC100288069	1	1	0
FAM87B	0	0	0
LINC00115	0	0	0
LINC01128	3	2	1
FAM41C	0	0	0
LOC100130417	0	0	0
SAMD11	3	3	1
NOC2L	272	273	0
KLHL17	33	33	0
PLEKHN1	0	0	0
PERM1	0	0	0
HES4	30	30	0
ISG15	9	9	0
AGRN	5	5	0
RNF223	0	0	0
C1orf159	4	4	0
LINC01342	23	0	23
MIR200B	0	0	0
MIR200A	0	0	0
MIR429	0	0	0
TTLL10	0	0	0
TNFRSF18	0	0	0
TNFRSF4	0	0	0
SDF4	18	18	0
B3GALT6	6	6	0
FAM132A	0	0	0
UBE2J2	52	52	0
SCNN1D	0	0	0
ACAP3	13	13	0
MIR6726	0	0	0
PUSL1	20	20	0
CPSF3L	111	111	0
MIR6727	0	0	0
CPTP	8	8	0
TAS1R3	0	0	0
DVL1	37	37	0
MIR6808	0	0	0
MXRA8	4	4	0
AURKAIP1	208	208	0
CCNL2	19	19	0
LOC148413	9	8	1
MRPL20	146	145	1
ANKRD65	0	0	0
TMEM88B	0	0	0
LOC102724312	0	0	0
VWA1	9	8	1
ATAD3C	0	0	0
ATAD3B	44	44	0
ATAD3A	60	60	0
TMEM240	0	0	0
SSU72	82	82	0
C1orf233	0	0	0
MIB2	3	3	0
MMP23B	0	0	0
MMP23A	0	0	0
CDK11B	19	19	0
SLC35E2B	1	1	0
CDK11A	8	8	0
SLC35E2	1	0	1
NADK	47	47	0
GNB1	400	400	0
CALML6	0	0	0
TMEM52	2	2	0
CFAP74	0	0	0
GABRD	1	0	1
PRKCZ	15	18	0
FAAP20	52	52	3
SKI	27	25	2
MORN1	6	6	0
LOC100129534	0	0	0
RER1	7	7	1
PEX10	20	21	0
PLCH2	0	0	0
PANK4	28	28	0
HES5	0	0	0
LOC115110	0	0	0
TNFRSF14	0	0	0
LOC100996583	0	0	0
FAM213B	23	23	2
MMEL1	0	2	0
TTC34	0	0	0
ACTRT2	0	0	0
LINC00982	0	0	0
PRDM16	0	0	0
MIR4251	0	0	0
ARHGEF16	3	1	2
MEGF6	0	0	0
MIR551A	0	0	0
TPRG1L	8	8	0
WRAP73	48	48	0
TP73	21	21	0
TP73-AS1	6	5	1
CCDC27	0	0	0
SMIM1	1	1	0
LRRC47	73	73	0
CEP104	13	13	0
DFFB	18	18	0
C1orf174	40	40	0
LINC01134	0	0	0
LINC01346	0	0	0
LOC284661	0	0	0
AJAP1	0	0	0
MIR4417	0	0	0
MIR4689	0	0	0
NPHP4	5	5	0
KCNAB2	2	1	1
CHD5	2	2	0
RPL22	70	70	0
LOC102724450	3	3	0
RNF207	18	5	13
ICMT	11	11	0
LINC00337	0	0	0
HES3	0	0	0
GPR153	1	1	0
ACOT7	222	170	52
HES2	0	0	0
ESPN	3	2	1
MIR4252	0	0	0
TNFRSF25	0	0	0
PLEKHG5	3	3	0
NOL9	81	81	0
TAS1R1	0	0	0
ZBTB48	11	11	0
KLHL21	27	27	0
PHF13	18	18	0
THAP3	13	13	1
DNAJC11	91	92	0
LOC100505887	0	0	0
CAMTA1	21	21	0
VAMP3	30	30	0
PER3	24	24	0
UTS2	0	0	0
TNFRSF9	0	0	0
PARK7	177	176	1
ERRFI1	0	0	0
LOC102724539	0	0	0
SLC45A1	0	0	0
RERE	38	38	0
LOC102724552	0	0	0
ENO1	2069	2070	1
MIR6728	0	0	0
ENO1-AS1	0	0	2
CA6	0	0	0
SLC2A7	0	0	0
SLC2A5	0	0	0
GPR157	3	3	0
MIR34A	0	0	0
H6PD	0	0	0
SPSB1	4	4	0
LOC100506022	0	0	0
SLC25A33	7	7	0
TMEM201	11	11	0
PIK3CD	5	5	0
PIK3CD-AS1	0	0	0
PIK3CD-AS2	4	4	0
CLSTN1	3	3	0
CTNNBIP1	2	2	0
LZIC	16	16	0
NMNAT1	2	2	0
MIR5697	0	0	0
RBP7	0	0	0
UBE4B	48	48	0
KIF1B	59	59	0
MIR1273D	0	0	0
RNU6-1	0	0	0
RNU6-2	0	0	0
RNU6-7	0	0	0
RNU6-9	0	0	0
RNU6-8	0	0	0
PGD	195	195	0
APITD1-CORT	0	0	0
APITD1	0	0	0
CORT	0	0	0
DFFA	58	58	0
PEX14	20	20	0
CASZ1	7	4	3
C1orf127	0	0	0
TARDBP	102	102	0
MASP2	0	0	0
SRM	329	329	0
EXOSC10	87	86	1
MTOR	56	56	0
MTOR-AS1	0	0	0
ANGPTL7	0	0	0
UBIAD1	6	6	0
PTCHD2	1	0	1
LOC101929181	0	0	0
FBXO2	9	9	0
FBXO44	17	17	0
FBXO6	5	5	0
MAD2L2	90	90	0
DRAXIN	0	0	0
AGTRAP	2	2	0
C1orf167	0	0	0
LOC102724659	0	0	0
MTHFR	2	2	0
CLCN6	3	3	0
NPPA-AS1	0	0	0
NPPA	0	0	0
NPPB	0	0	0
RNU5E-1	1466	1466	0
KIAA2013	1	1	0
PLOD1	7	7	0
